SAMN03279838	SRR1747208
SAMN03279837	SRR1747204
SAMN03279821	SRR1747181
SAMN03279823	SRR1747172
SAMN03279822	SRR1747179
SAMN03279829	SRR1747174
SAMN03279828	SRR1747192
SAMN04941009	SRR3477481
SAMN04941008	SRR3477480
SAMN03279825	SRR1747189
SAMN03279824	SRR1747207
SAMN03279827	SRR1747147
SAMN03279854	SRR1747164
SAMN03279856	SRR1747196
SAMN03279855	SRR1747201
SAMN03279850	SRR1747161
SAMN03279858	SRR1747195
SAMN03279859	SRR1747197
SAMN03279843	SRR1747150
SAMN03279842	SRR1747188
SAMN03279844	SRR1747176
SAMN03279840	SRR1747187
SAMN03279849	SRR1747162
SAMN03279848	SRR1747211
SAMN02251097	SRR934773
SAMN02251096	SRR934774
SAMN02251095	SRR934772
SAMN03279861	SRR1747193
SAMN03279860	SRR1747199
SAMN03279863	SRR1747198
SAMN03279862	SRR1747200
SAMEA3541615	ERR1018443
SAMEA3541611	ERR1018457
