R5609	Br1947
CMC_HBCC_RNA_PFC_3033	Br1591
CMC_HBCC_RNA_PFC_3384	4463344575_R01C02
CMC_HBCC_RNA_PFC_3198	4572348357_R01C02
CMC_HBCC_RNA_PFC_3393	Br1918
CMC_HBCC_RNA_PFC_3231	Br1197
CMC_HBCC_RNA_PFC_3186	4572348233_R01C02
CMC_HBCC_RNA_PFC_3131	Br1968
CMC_HBCC_RNA_PFC_2973	3999514099_R01C01
CMC_HBCC_RNA_PFC_2971	3999514124_R01C01
CMC_HBCC_RNA_PFC_3111	4031091047_A
CMC_HBCC_RNA_PFC_3342	5535549017_R01C02
CMC_HBCC_RNA_PFC_3565	3999338081_R01C01
CMC_HBCC_RNA_PFC_3415	3999514121_R01C01
CMC_HBCC_RNA_PFC_3544	3999338053_R02C01
CMC_HBCC_RNA_PFC_3065	5511192104_R01C01
