RnaID	GenotypeID	MetaCohort	RNADataset	GenotypeIndividualsDataset
2015-1503	2015-1503	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-3166	2015-3166	PsychEncode	BrainGVEx	GVEX
2015-2947	2015-2947	PsychEncode	BrainGVEx	GVEX
2015-6	2015-6	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-964	2016-964	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-351	2015-351	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-285	2015-285	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2609	2015-2609	PsychEncode	BrainGVEx	GVEX
2014-2197	2014-2197	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2594	2015-2594	PsychEncode	BrainGVEx	GVEX
2015-3238	2015-3238	PsychEncode	BrainGVEx	GVEX
2015-21	2015-21	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1467	2015-1467	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2950	2015-2950	PsychEncode	BrainGVEx	GVEX
2015-3083	2015-3083	PsychEncode	BrainGVEx	GVEX
2016-935	2016-935	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2885	2015-2885	PsychEncode	BrainGVEx	GVEX
2015-806	2015-806	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-944	2016-944	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-247	2015-247	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-863	2015-863	PsychEncode	BrainGVEx	BrainGVEX-V2
2014-2199	2014-2199	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-243	2015-243	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-885	2016-885	PsychEncode	BrainGVEx	GVEX
2015-736	2015-736	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2918	2015-2918	PsychEncode	BrainGVEx	GVEX
2015-251	2015-251	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1334	2015-1334	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2608	2015-2608	PsychEncode	BrainGVEx	GVEX
2015-769	2015-769	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-825	2016-825	PsychEncode	BrainGVEx	GVEX
2016-888	2016-888	PsychEncode	BrainGVEx	GVEX
2015-3284	2015-3284	PsychEncode	BrainGVEx	GVEX
2015-1505	2015-1505	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-934	2016-934	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-794	2016-794	PsychEncode	BrainGVEx	GVEX
2015-740	2015-740	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1448	2015-1448	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1537	2015-1537	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1513	2015-1513	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1427	2015-1427	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2923	2015-2923	PsychEncode	BrainGVEx	GVEX
2016-931	2016-931	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-43	2015-43	PsychEncode	BrainGVEx	BrainGVEX-V2
2014-2621	2014-2621	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-18	2015-18	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-960	2016-960	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-8	2015-8	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-511	2015-511	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-520	2015-520	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-829	2016-829	PsychEncode	BrainGVEx	GVEX
2015-895	2015-895	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-3233	2015-3233	PsychEncode	BrainGVEx	GVEX
2016-797	2016-797	PsychEncode	BrainGVEx	GVEX
2015-1444	2015-1444	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2604	2015-2604	PsychEncode	BrainGVEx	GVEX
2015-1402	2015-1402	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-861	2015-861	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1433	2015-1433	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1471	2015-1471	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2574	2015-2574	PsychEncode	BrainGVEx	GVEX
2016-956	2016-956	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-959	2016-959	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-790	2016-790	PsychEncode	BrainGVEx	GVEX
2015-2582	2015-2582	PsychEncode	BrainGVEx	GVEX
2015-1534	2015-1534	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1397	2015-1397	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-515	2015-515	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-869	2016-869	PsychEncode	BrainGVEx	GVEX
2015-3085	2015-3085	PsychEncode	BrainGVEx	GVEX
2016-948	2016-948	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-246	2015-246	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1532	2015-1532	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-894	2016-894	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1428	2015-1428	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-734	2015-734	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1446	2015-1446	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1449	2015-1449	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2575	2015-2575	PsychEncode	BrainGVEx	GVEX
2016-795	2016-795	PsychEncode	BrainGVEx	GVEX
2016-945	2016-945	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1535	2015-1535	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1451	2015-1451	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-282	2015-282	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-871	2016-871	PsychEncode	BrainGVEx	GVEX
2015-2592	2015-2592	PsychEncode	BrainGVEx	GVEX
2016-893	2016-893	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-775	2015-775	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1510	2015-1510	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-483	2015-483	PsychEncode	BrainGVEx	BrainGVEX-V2
2014-2622	2014-2622	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-283	2015-283	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1404	2015-1404	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-863	2016-863	PsychEncode	BrainGVEx	GVEX
2015-1403	2015-1403	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-3282	2015-3282	PsychEncode	BrainGVEx	GVEX
2015-2576	2015-2576	PsychEncode	BrainGVEx	GVEX
2015-739	2015-739	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1557	2015-1557	PsychEncode	BrainGVEx	BrainGVEX-V2
2014-2625	2014-2625	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-923	2015-923	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2921	2015-2921	PsychEncode	BrainGVEx	GVEX
2015-24	2015-24	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1336	2015-1336	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-250	2015-250	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2583	2015-2583	PsychEncode	BrainGVEx	GVEX
2016-889	2016-889	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-867	2016-867	PsychEncode	BrainGVEx	GVEX
2015-481	2015-481	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-862	2015-862	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2882	2015-2882	PsychEncode	BrainGVEx	GVEX
2016-792	2016-792	PsychEncode	BrainGVEx	GVEX
2015-901	2015-901	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1398	2015-1398	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1429	2015-1429	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-509	2015-509	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2607	2015-2607	PsychEncode	BrainGVEx	GVEX
2016-937	2016-937	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-3084	2015-3084	PsychEncode	BrainGVEx	GVEX
2016-927	2016-927	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1507	2015-1507	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-868	2016-868	PsychEncode	BrainGVEx	GVEX
2015-2579	2015-2579	PsychEncode	BrainGVEx	GVEX
2015-7	2015-7	PsychEncode	BrainGVEx	BrainGVEX-V2
2014-2198	2014-2198	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2887	2015-2887	PsychEncode	BrainGVEx	GVEX
2015-1445	2015-1445	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2886	2015-2886	PsychEncode	BrainGVEx	GVEX
2015-2603	2015-2603	PsychEncode	BrainGVEx	GVEX
2014-2626	2014-2626	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-793	2016-793	PsychEncode	BrainGVEx	GVEX
2015-1338	2015-1338	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-3170	2015-3170	PsychEncode	BrainGVEx	GVEX
2016-864	2016-864	PsychEncode	BrainGVEx	GVEX
2015-2588	2015-2588	PsychEncode	BrainGVEx	GVEX
2015-1473	2015-1473	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2593	2015-2593	PsychEncode	BrainGVEx	GVEX
2015-1538	2015-1538	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-478	2015-478	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1556	2015-1556	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1407	2015-1407	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-3229	2015-3229	PsychEncode	BrainGVEx	GVEX
2015-3278	2015-3278	PsychEncode	BrainGVEx	GVEX
2015-807	2015-807	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-828	2016-828	PsychEncode	BrainGVEx	GVEX
2015-3228	2015-3228	PsychEncode	BrainGVEx	GVEX
2016-957	2016-957	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2573	2015-2573	PsychEncode	BrainGVEx	GVEX
2015-1554	2015-1554	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-808	2015-808	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2610	2015-2610	PsychEncode	BrainGVEx	GVEX
2015-2629	2015-2629	PsychEncode	BrainGVEx	GVEX
2015-771	2015-771	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-946	2016-946	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2605	2015-2605	PsychEncode	BrainGVEx	GVEX
2014-2201	2014-2201	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-519	2015-519	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-862	2016-862	PsychEncode	BrainGVEx	GVEX
2015-1478	2015-1478	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-3280	2015-3280	PsychEncode	BrainGVEx	GVEX
2015-1506	2015-1506	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-3283	2015-3283	PsychEncode	BrainGVEx	GVEX
2015-249	2015-249	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-924	2016-924	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-41	2015-41	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-3082	2015-3082	PsychEncode	BrainGVEx	GVEX
2015-2584	2015-2584	PsychEncode	BrainGVEx	GVEX
2015-2949	2015-2949	PsychEncode	BrainGVEx	GVEX
2015-2578	2015-2578	PsychEncode	BrainGVEx	GVEX
2015-860	2015-860	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2625	2015-2625	PsychEncode	BrainGVEx	GVEX
2016-940	2016-940	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1475	2015-1475	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-796	2016-796	PsychEncode	BrainGVEx	GVEX
2015-1436	2015-1436	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-45	2015-45	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-4	2015-4	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-856	2015-856	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2884	2015-2884	PsychEncode	BrainGVEx	GVEX
2015-1541	2015-1541	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-284	2015-284	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-918	2015-918	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-832	2016-832	PsychEncode	BrainGVEx	GVEX
2016-892	2016-892	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-280	2015-280	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-834	2016-834	PsychEncode	BrainGVEx	GVEX
2015-354	2015-354	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2919	2015-2919	PsychEncode	BrainGVEx	GVEX
2015-1333	2015-1333	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1432	2015-1432	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-777	2015-777	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-3227	2015-3227	PsychEncode	BrainGVEx	GVEX
2015-2945	2015-2945	PsychEncode	BrainGVEx	GVEX
2015-864	2015-864	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1511	2015-1511	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2948	2015-2948	PsychEncode	BrainGVEx	GVEX
2015-2580	2015-2580	PsychEncode	BrainGVEx	GVEX
2015-287	2015-287	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2888	2015-2888	PsychEncode	BrainGVEx	GVEX
2015-3275	2015-3275	PsychEncode	BrainGVEx	GVEX
2015-2922	2015-2922	PsychEncode	BrainGVEx	GVEX
2016-823	2016-823	PsychEncode	BrainGVEx	GVEX
2015-3276	2015-3276	PsychEncode	BrainGVEx	GVEX
2016-923	2016-923	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2881	2015-2881	PsychEncode	BrainGVEx	GVEX
2015-1536	2015-1536	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1447	2015-1447	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-39	2015-39	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-3232	2015-3232	PsychEncode	BrainGVEx	GVEX
2016-942	2016-942	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-800	2016-800	PsychEncode	BrainGVEx	GVEX
2015-3167	2015-3167	PsychEncode	BrainGVEx	GVEX
2016-925	2016-925	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-824	2016-824	PsychEncode	BrainGVEx	GVEX
2015-902	2015-902	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1555	2015-1555	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-802	2015-802	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1332	2015-1332	PsychEncode	BrainGVEx	BrainGVEX-V2
2014-2194	2014-2194	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-480	2015-480	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-3231	2015-3231	PsychEncode	BrainGVEx	GVEX
2015-776	2015-776	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2591	2015-2591	PsychEncode	BrainGVEx	GVEX
2015-768	2015-768	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-46	2015-46	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-36	2015-36	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1434	2015-1434	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-22	2015-22	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-890	2016-890	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1408	2015-1408	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-479	2015-479	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-812	2015-812	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1	2015-1	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2917	2015-2917	PsychEncode	BrainGVEx	GVEX
2015-20	2015-20	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-926	2016-926	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1339	2015-1339	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1468	2015-1468	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-872	2016-872	PsychEncode	BrainGVEx	GVEX
2015-2946	2015-2946	PsychEncode	BrainGVEx	GVEX
2015-248	2015-248	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-865	2016-865	PsychEncode	BrainGVEx	GVEX
2015-1469	2015-1469	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-954	2016-954	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-801	2016-801	PsychEncode	BrainGVEx	GVEX
2015-810	2015-810	PsychEncode	BrainGVEx	BrainGVEX-V2
Br763_R3622	Br763	Brainseq	Brainseq	LIBD_1M
Br2163_R4367	5421787402_R01C02	Brainseq	Brainseq	CMC_HBCC_set2
Br1067_R3036	Br1067	Brainseq	Brainseq	LIBD_1M
Br1782_R3462	Br1782	Brainseq	Brainseq	LIBD_h650
Br1190_R3563	Br1190	Brainseq	Brainseq	LIBD_h650
Br1927_R4041	Br1927	Brainseq	Brainseq	LIBD_1M
Br1264_R3539	Br1264	Brainseq	Brainseq	Bipseq_h650
Br1861_R4701	Br1861	Brainseq	Brainseq	LIBD_h650
Br1235_R3432	Br1235	Brainseq	Brainseq	LIBD_1M
Br1881_R3548	Br1881	Brainseq	Brainseq	LIBD_h650
Br1390_R3517	Br1390	Brainseq	Brainseq	LIBD_1M
Br1832_R3656	Br1832	Brainseq	Brainseq	LIBD_1M
Br1389_R3374	Br1389	Brainseq	Brainseq	LIBD_1M
Br1522_R3567	Br1522	Brainseq	Brainseq	LIBD_1M
Br1594_R3942	Br1594	Brainseq	Brainseq	LIBD_1M
Br2097_R4321	Br2097	Brainseq	Brainseq	LIBD_1M
Br1958_R5611	Br1958	Brainseq	Brainseq	LIBD_1M
Br2180_R4386	5511192131_R01C02	Brainseq	Brainseq	CMC_HBCC_set2
Br2047_R4006	Br2047	Brainseq	Brainseq	LIBD_1M
Br2242_R5626	Br2242	Brainseq	Brainseq	LIBD_1M
Br1708_R3580	Br1708	Brainseq	Brainseq	LIBD_h650
Br1069_R3924	Br1069	Brainseq	Brainseq	LIBD_h650
Br1960_R4044	Br1960	Brainseq	Brainseq	LIBD_1M
Br1105_R3098	Br1105	Brainseq	Brainseq	LIBD_h650
Br1448_R3504	Br1448	Brainseq	Brainseq	LIBD_1M
Br1965_R4255	Br1965	Brainseq	Brainseq	LIBD_h650
Br2064_R5629	Br2064	Brainseq	Brainseq	LIBD_1M
Br1968_R4258	Br1968	Brainseq	Brainseq	LIBD_1M
Br2263_R5742	Br2263	Brainseq	Brainseq	LIBD_1M
Br1538_R3912	Br1538	Brainseq	Brainseq	LIBD_1M
Br1967_R4257	Br1967	Brainseq	Brainseq	LIBD_1M
Br823_R3087	Br823	Brainseq	Brainseq	LIBD_1M
Br1351_R3932	Br1351	Brainseq	Brainseq	Bipseq_h650
Br1039_R3537	Br1039	Brainseq	Brainseq	LIBD_h650
Br1324_R3448	Br1324	Brainseq	Brainseq	LIBD_1M
Br1845_R3591	Br1845	Brainseq	Brainseq	LIBD_h650
Br1283_R3575	Br1283	Brainseq	Brainseq	LIBD_1M
Br1292_R3604	Br1292	Brainseq	Brainseq	LIBD_h650
Br1865_R4029	Br1865	Brainseq	Brainseq	LIBD_h650
Br1281_R3494	Br1281	Brainseq	Brainseq	LIBD_h650
Br2020_R5597	Br2020	Brainseq	Brainseq	LIBD_1M
Br1289_R3565	Br1289	Brainseq	Brainseq	LIBD_h650
Br914_R3381	Br914	Brainseq	Brainseq	LIBD_1M
Br1585_R2816	Br1585	Brainseq	Brainseq	LIBD_1M
Br1459_R3544	Br1459	Brainseq	Brainseq	LIBD_1M
Br2230_R4354	Br2230	Brainseq	Brainseq	LIBD_1M
Br1877_R4703	Br1877	Brainseq	Brainseq	LIBD_h650
Br1275_R4203	Br1275	Brainseq	Brainseq	LIBD_1M
Br1942_R3775	Br1942	Brainseq	Brainseq	LIBD_1M
Br2228_R4364	Br2228	Brainseq	Brainseq	LIBD_1M
Br938_R3634	Br938	Brainseq	Brainseq	LIBD_1M
Br1792_R3875	Br1792	Brainseq	Brainseq	LIBD_1M
Br1745_R5846	Br1745	Brainseq	Brainseq	LIBD_1M
Br1282_R3564	Br1282	Brainseq	Brainseq	LIBD_1M
Br1563_R5859	Br1563	Brainseq	Brainseq	LIBD_h650
Br1092_R3765	Br1092	Brainseq	Brainseq	LIBD_1M
Br2183_R4387	Br2183	Brainseq	Brainseq	LIBD_1M
Br1040_R3466	Br1040	Brainseq	Brainseq	LIBD_1M
Br855_R3633	Br855	Brainseq	Brainseq	LIBD_1M
Br2176_R4401	Br2176	Brainseq	Brainseq	LIBD_1M
Br2166_R4398	Br2166	Brainseq	Brainseq	LIBD_1M
Br1695_R4235	Br1695	Brainseq	Brainseq	Bipseq_h650
Br2412_R5810	Br2412	Brainseq	Brainseq	LIBD_1M
Br1408_R3554	Br1408	Brainseq	Brainseq	LIBD_1M
Br1379_R3627	Br1379	Brainseq	Brainseq	LIBD_h650
Br1912_R5618	Br1912	Brainseq	Brainseq	LIBD_1M
Br1410_R3895	Br1410	Brainseq	Brainseq	LIBD_h650
Br1407_R3470	Br1407	Brainseq	Brainseq	LIBD_h650
Br2099_R4343	Br2099	Brainseq	Brainseq	LIBD_1M
Br1346_R4171	Br1346	Brainseq	Brainseq	LIBD_h650
Br1279_R3447	Br1279	Brainseq	Brainseq	Bipseq_1M
Br1189_R4012	Br1189	Brainseq	Brainseq	LIBD_1M
Br1303_R2810	Br1303	Brainseq	Brainseq	LIBD_1M
Br2063_R5628	Br2063	Brainseq	Brainseq	LIBD_1M
Br1285_R3373	Br1285	Brainseq	Brainseq	LIBD_h650
Br1964_R4254	Br1964	Brainseq	Brainseq	LIBD_h650
Br2137_R4403	5421787305_R01C02	Brainseq	Brainseq	CMC_HBCC_set2
Br1588_R3898	Br1588	Brainseq	Brainseq	LIBD_1M
Br2233_R5822	Br2233	Brainseq	Brainseq	LIBD_1M
Br1025_R3647	Br1025	Brainseq	Brainseq	LIBD_1M
Br1221_R2895	Br1221	Brainseq	Brainseq	LIBD_1M
Br1863_R3571	Br1863	Brainseq	Brainseq	LIBD_h650
Br2107_R4342	Br2107	Brainseq	Brainseq	LIBD_1M
Br2201_R4278	Br2201	Brainseq	Brainseq	LIBD_1M
Br1908_R4037	Br1908	Brainseq	Brainseq	LIBD_1M
Br858_R3888	Br858	Brainseq	Brainseq	LIBD_1M
Br2185_R4389	5421787392_R01C01	Brainseq	Brainseq	CMC_HBCC_set2
Br1380_R3650	Br1380	Brainseq	Brainseq	LIBD_h650
Br1700_R3977	Br1700	Brainseq	Brainseq	LIBD_1M
Br1918_R4068	Br1918	Brainseq	Brainseq	LIBD_1M
Br1853_R3497	Br1853	Brainseq	Brainseq	LIBD_h650
Br2221_R4357	Br2221	Brainseq	Brainseq	LIBD_1M
Br1998_R4049	Br1998	Brainseq	Brainseq	Bipseq_1M
Br2148_R4407	Br2148	Brainseq	Brainseq	LIBD_1M
Br1860_R3557	Br1860	Brainseq	Brainseq	LIBD_h650
Br1740_R2867	Br1740	Brainseq	Brainseq	LIBD_1M
Br2002_R4050	Br2002	Brainseq	Brainseq	LIBD_1M
Br869_R4201	Br869	Brainseq	Brainseq	LIBD_1M
Br2162_R4397	5511192115_R01C01	Brainseq	Brainseq	CMC_HBCC_set2
Br973_R2869	Br973	Brainseq	Brainseq	LIBD_h650
Br1053_R3051	Br1053	Brainseq	Brainseq	LIBD_1M
Br1453_R3910	Br1453	Brainseq	Brainseq	LIBD_1M
Br1627_R3590	Br1627	Brainseq	Brainseq	LIBD_h650
Br863_R4166	Br863	Brainseq	Brainseq	LIBD_h650
Br1552_R4121	Br1552	Brainseq	Brainseq	LIBD_1M
Br1512_R3014	Br1512	Brainseq	Brainseq	LIBD_h650
Br1526_R4244	Br1526	Brainseq	Brainseq	LIBD_1M
Br1846_R3570	Br1846	Brainseq	Brainseq	LIBD_h650
Br1980_R4047	Br1980	Brainseq	Brainseq	LIBD_1M
Br1442_R3543	Br1442	Brainseq	Brainseq	LIBD_1M
Br949_R3394	Br949	Brainseq	Brainseq	LIBD_1M
Br873_R3645	Br873	Brainseq	Brainseq	LIBD_1M
Br1898_R3676	Br1898	Brainseq	Brainseq	LIBD_1M
Br1509_R3974	Br1509	Brainseq	Brainseq	LIBD_1M
Br1469_R4114	Br1469	Brainseq	Brainseq	Bipseq_h650
Br1669_R3619	Br1669	Brainseq	Brainseq	LIBD_h650
Br2214_R4355	Br2214	Brainseq	Brainseq	LIBD_1M
Br1803_R3485	Br1803	Brainseq	Brainseq	LIBD_1M
Br983_R3623	Br983	Brainseq	Brainseq	LIBD_1M
Br2092_R4335	5421787400_R01C01	Brainseq	Brainseq	CMC_HBCC_set2
Br1304_R3479	Br1304	Brainseq	Brainseq	Bipseq_1M
Br1204_R3477	Br1204	Brainseq	Brainseq	LIBD_1M
Br1113_R3970	Br1113	Brainseq	Brainseq	LIBD_1M
Br1844_R4699	Br1844	Brainseq	Brainseq	LIBD_h650
Br2053_R5602	Br2053	Brainseq	Brainseq	LIBD_1M
Br2192_R4273	Br2192	Brainseq	Brainseq	LIBD_1M
Br2074_R5623	Br2074	Brainseq	Brainseq	LIBD_1M
Br1436_R3496	Br1436	Brainseq	Brainseq	LIBD_1M
Br2231_R4426	Br2231	Brainseq	Brainseq	LIBD_1M
Br2267_R5744	Br2267	Brainseq	Brainseq	LIBD_1M
Br2154_R4410	Br2154	Brainseq	Brainseq	LIBD_1M
Br905_R3669	Br905	Brainseq	Brainseq	LIBD_h650
Br2202_R4279	Br2202	Brainseq	Brainseq	LIBD_1M
Br1084_R3442	Br1084	Brainseq	Brainseq	LIBD_1M
Br1791_R3683	Br1791	Brainseq	Brainseq	LIBD_1M
Br1384_R5885	Br1384	Brainseq	Brainseq	Bipseq_1M
Br1143_R3396	Br1143	Brainseq	Brainseq	LIBD_1M
Br859_R3393	Br859	Brainseq	Brainseq	LIBD_1M
Br1789_R3390	Br1789	Brainseq	Brainseq	LIBD_h650
Br1595_R2961	4578977165_R01C02	Brainseq	Brainseq	CMC_HBCC_set2
Br2003_R4051	Br2003	Brainseq	Brainseq	LIBD_1M
Br2207_R4292	Br2207	Brainseq	Brainseq	LIBD_1M
Br1435_R3663	Br1435	Brainseq	Brainseq	LIBD_h650
Br1424_R2980	Br1424	Brainseq	Brainseq	LIBD_h650
Br922_R3921	Br922	Brainseq	Brainseq	LIBD_1M
Br2204_R4291	Br2204	Brainseq	Brainseq	LIBD_1M
Br1342_R3660	Br1342	Brainseq	Brainseq	LIBD_h650
Br1050_R3611	Br1050	Brainseq	Brainseq	LIBD_1M
Br2206_R4281	Br2206	Brainseq	Brainseq	LIBD_1M
Br1243_R3602	Br1243	Brainseq	Brainseq	Bipseq_h650
Br2351_R6535	Br2351	Brainseq	Brainseq	LIBD_5M
Br1218_R3601	Br1218	Brainseq	Brainseq	LIBD_h650
Br1148_R3468	Br1148	Brainseq	Brainseq	LIBD_h650
Br2288_R5749	Br2288	Brainseq	Brainseq	Bipseq_1M
Br1320_R4108	Br1320	Brainseq	Brainseq	LIBD_1M
Br1884_R3674	Br1884	Brainseq	Brainseq	LIBD_1M
Br2257_R5741	Br2257	Brainseq	Brainseq	LIBD_1M
